Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Sukonstruok dieną kosmose,Roberta Spagnolo,2023,12,12.99,11.69,0,Nieko rimto,"24 x 26 x 1,6 cm, kieti viršeliai",Lietuvių,0,0,
Sukonstruok dinozaurus,Ronny Gazolla,2021,12,0,0,0,Nieko rimto,"24 x 26 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Sukonstruok transporto priemones,Ronnie Gazzola,2021,12,11.12,11.12,0,Nieko rimto,"24 x 26 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
Sukonstruok vienaragius,Federica Magrin,2022,12,14.99,14.99,0,Nieko rimto,"24,1 x 26 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
"Suku, suku sukučiuką. Ančiukas Bjaurančiukas",Liuda Petkevičiūtė,2012,10,4.22,3.80,0,Trys nykštukai,"24 x 26 cm, kieti viršeliai",Lietuvių,0,0,
"Suku, suku sukučiuką. Trys paršiukai",Liuda Petkevičiūtė,2012,10,0,0,3.19,Trys nykštukai,"24 x 26 cm, kieti viršeliai",Lietuvių,0,0,
Sukurk savo istoriją. Pelenė (daugiau kaip 14 garsų),Liuda Petkevičiūtė,2018,8,0,0,11.99,Vaiga,"22,5 x 22,5 x 2 cm, kieti viršeliai",Lietuvių,4,3,
Sukurk savo istoriją. Raudonkepuraitė (daugiau kaip 14 garsų),Liuda Petkevičiūtė,2018,8,0,0,0,Vaiga,"22,5 x 22,5 x 2 cm, kieti viršeliai",Lietuvių,3,4,
Šuldu buldu papartyne. Knygutė su akutėm,Liuda Petkevičiūtė,2005,10,0,0,0,Trys nykštukai,"15,8 x 22 x 0,5 cm, kieti viršeliai",Lietuvių,0,0,
Sumani antytė,Liuda Petkevičiūtė,2004,32,0,0,0,Naujoji Rosma,"21,5 cm, minkšti viršeliai",Lietuvių,0,0,
Sumanus mažylis. Ką sako miško gyvūnai?,Irma Pikienė,2020,14,0,0,0,Jūsų Flintas,"15 x 15 x 1 cm, kieti viršeliai",Lietuvių,5,5,
Sumanus mažylis. Ką sako ūkio gyvūnai?,Irma Pikienė,2020,14,0,0,0,Jūsų Flintas,"15 x 15 x 1 cm, kieti viršeliai",Lietuvių,4,5,
Sumanus mažylis. Mažieji pievos gyventojai,Irma Pikienė,2019,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,2,4,
Sumanus mažylis. Miško gyventojai,Rasa Dmuchovskienė,2023,16,3.19,2.87,0,Jūsų Flintas,"10 x 10 x 1 cm, kieti viršeliai",Lietuvių,2,4,
Sumanus mažylis. Miško gyventojai,Rasa Dmuchovskienė,2019,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,2,4,
Sumanus mažylis. Sodybos gyventojai,Rasa Dmuchovskienė,2022,16,4.69,4.22,0,Jūsų Flintas,"10 x 10 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Sumanus mažylis. Sodybos gyventojai,Rasa Dmuchovskienė,2020,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,1,5,
Sumanus mažylis. Transportas,Rasa Dmuchovskienė,2019,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,3,4,
Sumanus mažylis. Vaisiai ir daržovės,Rasa Dmuchovskienė,2022,16,3.19,2.87,0,Jūsų Flintas,"10 x 10 x 1 cm, kieti viršeliai",Lietuvių,3,4,
Sumanus mažylis. Vaisiai ir daržovės,Rasa Dmuchovskienė,2020,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,3,4,
Sumanus mažylis. Zoologijos sodo gyventojai,Rasa Dmuchovskienė,2022,16,3.19,2.87,0,Jūsų Flintas,"10 x 10 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Sumanus mažylis. Zoologijos sodo gyventojai,Rasa Dmuchovskienė,2019,14,0,0,0,Jūsų Flintas,"10,8 x 10,5 x 1,6 cm, minkšti viršeliai",Lietuvių,2,5,
Sumanus mažylis,Rasa Dmuchovskienė,2015,12,0,0,0,Nieko rimto,"16 x 16 x 1,2 cm, kieti viršeliai",Lietuvių,2,3,
Šunelis: gauruotas pasakojimas apie žaismingą šunelį,Rasa Dmuchovskienė,2020,12,0,0,0,Vaiga,"20 x 20 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Šunelis. Smagi knygelė mažoms rankelėms,Rasa Dmuchovskienė,2019,8,0,0,0,Vaiga,"12,5 x 12,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Šunelis Margis ir jo draugai. Su blizgiais žvyneliais,Rasa Dmuchovskienė,2018,10,0,0,0,Presvika,"17,5 x 17,5 x 1,6 cm, kieti viršeliai",Lietuvių,3,3,
Sūnelis,Ariel Andrés Almada & Sonja Wimmer,2021,36,10.69,9.62,0,Odilė,"21 x 26 x 0,8 cm, kieti viršeliai",Lietuvių,0,4,
Šunys: paglostyk mane,Ariel Andrés Almada & Sonja Wimmer,2020,8,0,0,0,Alma littera,"16 x 22 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Šuniukai ir barškučiai. Skaitome pypliams,Ariel Andrés Almada & Sonja Wimmer,2018,8,0,0,0,Trys nykštukai,"13 x 16 x 1,5 cm, kieti viršeliai",Lietuvių,3,3,
"Šuniukai loja, vištos kudakuoja. Juokingos vienkiemio istorijos",Ariel Andrés Almada & Sonja Wimmer,2023,18,8.89,8.00,0,Trys nykštukai,"20 x 24 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Šuniukas Amsiukas,Ariel Andrés Almada & Sonja Wimmer,2005,10,0,0,0,Mūsų knyga,"15,5 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Šuniukas Amsiukas,Marta Berovska,2011,10,0,0,0,Ramduva,"15,5 x 19 cm, kieti viršeliai",Lietuvių,1,5,
Šuniukas eina ant puoduko,Katharina Bensch,2020,16,0,0,16.59,Vaiga,"18 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,0,4,
"ŠUNIUKAS IR DRAUGAI: knygelėje mažyliai ras smagių eilėraštukų ir vis kitokių medžiagėlių, lavinančių pojūčius",Katharina Bensch,2019,10,8.69,5.21,0,Baltos lankos,"16,4 x 16,4 x 1,7 cm, kieti viršeliai",Lietuvių,0,0,
Šuniukas loja au au. Gyvūnų balsai,Katharina Bensch,2017,8,0,0,0,Presvika,"18 x 18 x 2 cm, kieti viršeliai",Lietuvių,1,5,
Šuniukas Sargiukas,Grazyna Motylewska,2006,10,0,0,2.19,Trys nykštukai,"16,5 x 22 cm, kieti viršeliai",Lietuvių,0,0,
Šuniuko metai kaime,Selemonas Paltanavičius,2020,60,12.19,8.53,12.19,Alma littera,"24,5 x 22 x 0,9 cm, kieti viršeliai",Lietuvių,0,3,
Šuniuko Triufelio nuotykiai. Paskaityk man! Linksma istorija vaikams nuo 2 metų,Selemonas Paltanavičius,2015,28,0,0,10.59,Vaiga,"19,5 x 19,5 x 2,2 cm, kieti viršeliai",Lietuvių,1,5,
Šuniukų istorijos: 5 minučių pasakos,Selemonas Paltanavičius,2018,48,0,0,0,Vaiga,"19,5 x 23,5 x 1,3 cm, kieti viršeliai",Lietuvių,4,5,
Šunyčiai patruliai: 4 juokingi nuotykiai,Selemonas Paltanavičius,2020,72,0,0,0,Egmont Lietuva,"20 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Paw Patrol. Šunyčiai patruliai. Dirbant kartu joks darbas nebaisus!,Selemonas Paltanavičius,2022,16,7.29,6.20,0,Egmont Lietuva,"17,5 x 17,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Džiunglėse,Frank Berrios,2024,24,9.19,6.43,0,Alma littera,"20,8 x 21 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Mano pirmoji knyga. Formos,Sergio Szwarcberg,2024,8,8.29,5.80,0,Alma littera,"17,5 x 16,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
"Šunyčiai patruliai: labanakt, patruliai!",Sergio Szwarcberg,2021,72,0,0,9.99,Egmont Lietuva,"20 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Šunyčiai patruliai. Mano pirmosios knygelės,Sergio Szwarcberg,2020,12,0,0,0,Egmont Lietuva,"29,5 x 29,5 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Draugystės dienos šventė,Sergio Szwarcberg,2023,80,10.39,9.35,0,Egmont Lietuva,"20 x 27,2 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Naujieji herojai,Sergio Szwarcberg,2024,42,10.59,7.41,0,Alma littera,"21,8 x 28,7 x 1 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai: patruliai gelbėja beždžionėles,Sergio Szwarcberg,2020,24,0,0,0,Egmont Lietuva,"22,2 x 22,2 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai Patruliai. Patruliai Gelbėja Dinozaurų Kiaušinius,Sergio Szwarcberg,2023,24,0,0,0,Egmont Lietuva,"20,3 x 20,3 x 0,3 cm, minkšti viršeliai",Lietuvių,1,5,
Šunyčiai patruliai. Kova dėl drakono danties,Sergio Szwarcberg,2024,24,4.89,4.40,0,Egmont Lietuva,"22 x 22 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Paw Patrol. Šunyčiai patruliai: patruliai gelbėja futbolo rungtynes,Sergio Szwarcberg,2020,24,0,0,2.79,Egmont Lietuva,"20,3 x 20,5 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Šunyčiai patruliai. Paw Patrol. Patruliai gelbėja šventę,Sergio Szwarcberg,2019,24,0,0,0,Egmont Lietuva,"22,2 x 22,2 x 0,3 cm, minkšti viršeliai",Lietuvių,3,5,
Paw Patrol. Šunyčiai patruliai: patruliai gelbėja Turbotus,Sergio Szwarcberg,2019,24,0,0,0,Egmont Lietuva,"20,3 x 20,3 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Patruliai gesina ugnį,Sergio Szwarcberg,2019,24,0,0,0,Egmont Lietuva,"22,2 x 22,2 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Paw Patrol. Galingieji patruliai,Sergio Szwarcberg,2021,24,0,0,0,Egmont Lietuva,"20,3 x 20,3 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Mano pirmasis laikrodis,Sergio Szwarcberg,2024,12,12.49,11.24,0,Alma littera,"22,5 x 28,4 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
"Šunyčiai patruliai: saldžių sapnų, patruliai!",Sergio Szwarcberg,2022,70,0,0,17.79,Egmont Lietuva,"20,5 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Paw Patrol. Šunyčiai patruliai: skaičiai. Mano pirmoji knyga,Sergio Szwarcberg,2020,12,0,0,0,Egmont Lietuva,"17,5 x 16,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Paw Patrol. Šunyčiai patruliai: patruliai gelbėja traukinį,Sergio Szwarcberg,2019,24,0,0,0,Egmont Lietuva,"20,3 x 20,3 x 0,3 cm, minkšti viršeliai",Lietuvių,0,5,
Šunyčiai patruliai. Mano pirmoji knyga. Žodžiai,Sergio Szwarcberg,2024,8,8.29,5.80,0,Alma littera,"17,5 x 16,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Žvaigždžių komanda,Sergio Szwarcberg,2023,72,0,0,0,Egmont Lietuva,"20 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
ŠUNYČIAI PATRULIAI KORTELĖS. PAW PATROL,Rasa Dagienė,2023,72,0,0,0,Jūsų Flintas,"12 x 6,5 x 0,2 cm , kieti viršeliai",Lietuvių,0,0,
ŠUNYČIAI PATRULIAI RINKINYS. PAW PATROL,Rasa Dagienė,2023,16,17.39,17.39,0,Jūsų Flintas,"16 x 21 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Mano pirmoji knyga. Spalvos,Sergio Szwarcberg,2024,8,8.29,5.80,0,Alma littera,"17,5 x 16,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Šunyčių istorijos. Pasinėrę į nuotykius,Sergio Szwarcberg,2024,112,15.19,13.67,0,Alma littera,"21,5 x 28 x 1,3 cm, kieti viršeliai",Lietuvių,0,0,
"Šuo, kuris išeina naktį",Jurga Vilė,2023,32,13.79,12.41,13.79,700 eilučių,"26,5 x 24,5 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Šuo Digbis laiškanešys,Tor Freeman,2015,28,0,0,0,Tyto alba,"24,2 x 30,5 cm, kieti viršeliai",Lietuvių,2,5,
Šuo vardu Katė,Tomi Kontio,2021,32,8.71,6.53,0,Nieko rimto,"26,5 x 25,7 x 0,7 cm, kieti viršeliai",Lietuvių,5,2,
Šunyčiai patruliai. Riedulys ir jo būrys. Superplovykla,Cara Stevens,2024,24,9.09,6.36,0,Alma littera,"20,7 x 20,9 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Surask Joną. Užduotys jūroje,Martin Handford,2017,24,0,0,0,Nieko rimto,"23 x 28,8 x 0,4 cm, minkšti viršeliai",Lietuvių,4,5,
Surask Joną. Užduotys kosmose,Martin Handford,2016,24,0,0,0,Nieko rimto,"23 x 28,8 x 0,4 cm, minkšti viršeliai",Lietuvių,0,0,
Surask Joną dabar!,Martin Handford,2014,30,0,0,0,Nieko rimto,"26 x 32 cm, kieti viršeliai",Lietuvių,1,5,
Surask Joną Holivude,Martin Handford,2017,30,0,0,0,Nieko rimto,"26 x 32 x 0,8 cm, kieti viršeliai",Lietuvių,1,5,
Surask Joną. Nepaprasta kelionė,Martin Handford,2015,30,0,0,0,Nieko rimto,"26 x 32 cm, kieti viršeliai",Lietuvių,2,5,
Surask Joną!,Martin Handford,2014,30,0,0,0,Nieko rimto,"26 x 32 cm, kieti viršeliai",Lietuvių,3,5,
Surask mane! Au! Au! 5 langeliai su garsais,Martin Handford,2013,10,0,0,0,Alma littera,"24 x 24 cm, kieti viršeliai",Lietuvių,0,0,
Surask mane! Bee! Bee! 5 langeliai su garsais,Martin Handford,2013,10,0,0,0,Alma littera,"24 x 24 cm, kieti viršeliai",Lietuvių,0,0,
Surask mus džiunglėse!,Martin Handford,2023,10,8.59,4.29,0,Alma littera,"20 x 22 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Surask mus ūkyje!,Martin Handford,2023,10,8.59,6.01,0,Alma littera,"20 x 22 x 1 cm, kieti viršeliai",Lietuvių,0,4,
Surask porą. Aš ir mano mama,O. Petrovskaja,2011,38,0,0,0,Presvika,"15 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Surask porą. Kuo mintu ir kur gyvenu.,O. Petrovskaja,2011,36,0,0,0,Presvika,"15 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Surask porą. Logika ir mąstymas,O. Petrovskaja,2011,38,0,0,0,Presvika,"15 x 19 cm, kieti viršeliai",Lietuvių,0,0,
Surask porą. Spalvos ir formos,O. Petrovskaja,2011,38,0,0,7.59,Presvika,"15 x 19 cm, kieti viršeliai",Lietuvių,0,0,
"Suskaičiuok iki dešimties, o tada atgal",O. Petrovskaja,2022,16,15.19,9.09,0,Alma littera,"21,6 x 25 x 1 cm, kieti viršeliai",Lietuvių,0,0,
"Suvyniota diena, arba Kokio dydžio būna didelė meilė",Jonas Liniauskas,2011,120,0,0,8.90,Alma littera,"21 x 23 cm, kieti viršeliai",Lietuvių,1,5,
Svajoklė ir svajonių Brolis: pasaka – ne pasaka,Povilas Masilionis,2017,48,3.05,2.75,0,Gairės,"17 x 20 x 0,5 cm, minkšti viršeliai",Lietuvių,0,0,
Svajonės pildosi,Povilas Masilionis,2022,96,0,0,0,Alma littera,"21 x 25 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Svajonių sodas. Geriausios meškių istorijos,Evelina Daciūtė,2024,68,13.59,10.19,0,Alma littera,"23 x 23 x 1,1 cm, kieti viršeliai",Lietuvių,4,4,
Meškių istorijos. Svajonių sodas,Evelina Daciūtė,2016,56,0,0,0,Tikra knyga,"23 x 23 x 1 cm, kieti viršeliai",Lietuvių,4,4,
Svarbūs įvykiai: KELIAUJU Į DARŽELĮ!,Evelina Daciūtė,2022,10,12.99,11.69,0,Skaitau nuo gimimo,"19,5 x 19,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
"Svarbūs įvykiai: SUDIE, SAUSKELNĖS!",Evelina Daciūtė,2022,10,12.99,11.69,0,Skaitau nuo gimimo,"19,5 x 19,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Svečiuose pas miško gyventojus,Evelina Daciūtė,2019,12,0,0,0,Vaiga,"20 x 20 x 2,3 cm, kieti viršeliai",Lietuvių,1,5,
Svečiuose pas Murklį,Rolandas Bilinskas,2010,16,0,0,0,Vaiga,"21 x 29,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Svečiuose pas saulutę. Pasakos apie gyvūnus su garsais,Rolandas Bilinskas,2012,10,0,0,0,Presvika,"24 x 23 cm, kieti viršeliai",Lietuvių,1,3,
"Sveika, šalie Kalėdų!",Judita Ožeraitytė,2010,208,0,0,0,Druka,"17 x 24 cm, minkšti viršeliai",Lietuvių,0,0,
"Sveikas, mažasis kačiuk! Su judančiais elementais",Judita Ožeraitytė,2018,10,8.92,6.69,8.92,Presvika,"17 x 17 x 2 cm, kieti viršeliai",Lietuvių,2,5,
"Sveikas, mažasis šuniuk! Su judančiais elementais",Judita Ožeraitytė,2018,10,8.92,6.69,0,Presvika,"17 x 17 x 2 cm, kieti viršeliai",Lietuvių,1,5,
"Sveikas, Vilniau!",Simonas Kvintas,2021,10,14.59,13.13,0,Hubris,"20,5 x 28,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Sveiki atvykę į kaimą. Belsk ir klausk,Simonas Kvintas,2018,12,0,0,0,Presvika,"24,5 x 22,5 x 1,5 cm, kieti viršeliai",Lietuvių,5,5,
Sveiki atvykę į mišką. 22 miško garsai,Simonas Kvintas,2017,12,0,0,0,Presvika,"26 x 28 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Sveiki atvykę į ūkį. 22 ūkio garsai,Simonas Kvintas,2017,12,0,0,0,Presvika,"26 x 28 x 1 cm, kieti viršeliai",Lietuvių,1,5,
"Sveki, gyvūnėliai! Man 1 metai",Simonas Kvintas,2012,8,0,0,0,Ramduva,"15 x 15,5 cm, kieti viršeliai",Lietuvių,0,0,
Švelnumo fabrikėlis,Jurga Vilė,2018,52,6.85,6.17,6.85,Biokosmetikos manufaktūra,"21,5 x 25,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Švelnuolis Kiškutis Pilkutis ir vaivorykštė,Jurga Vilė,2008,128,0,0,0,Trys nykštukai,"22 x 29 cm, minkšti viršeliai",Lietuvių,0,0,
Svetimam darže skanesnės ropės,Marta Berowska,2013,10,0,0,0,Trys nykštukai,"15 x 18,5 cm, kieti viršeliai",Lietuvių,0,0,
"Švieselė, sužibusi naktį",Marie Voigt,2021,32,10.59,8.47,10.59,Lietuvos rašytojų sąjungos leidykla,"24,6 x 28,4 x 0,9 cm, kieti viršeliai",Lietuvių,0,4,
Kosminės užduotys. Švyti tamsoje,Marie Voigt,2023,36,8.39,3.39,0,Alma littera,"23 x 29 x 0,5 cm, minkšti viršeliai",Lietuvių,1,5,
Šypsena Varlytei,Przemysław Wechterowicz,2018,32,0,0,0,Nieko rimto,"25,5 x 26 x 0,7 cm, kieti viršeliai",Lietuvių,3,5,
Šypsenos ilgumo pasakaitės,Gianni Rodari,2012,164,0,0,5.59,Baltos lankos,"21 x 10 x 1,4 cm, kieti viršeliai",Lietuvių,1,4,
Tai bent kelionė,Povilas Laurinkus,2024,56,16.79,15.11,0,Baltos lankos,"22,5 x 22,7 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Tai bent knyga,Povilas Laurinkus,2023,104,14.89,13.40,0,Baltos lankos,"22,5 x 22,5 x 1,4 cm, kieti viršeliai",Lietuvių,7,5,
Tai bent parduotuvė,Povilas Laurinkus,2010,10,0,0,0,Trys nykštukai,"21,5 x 21 cm, kieti viršeliai",Lietuvių,0,0,
Tai bent ūkis,Povilas Laurinkus,2010,10,0,0,0,Trys nykštukai,"20,5 x 21 cm, kieti viršeliai",Lietuvių,1,5,
Tai bent vaikų darželis,Alfredas Steiblys,2019,22,3.08,2.77,0,Trys nykštukai,"13,5 x 13,5 x 2 cm, kieti viršeliai",Lietuvių,0,0,
Tai iš Biblijos,Alejandra Barba Romera,2009,24,0,0,3.19,Lietuvos Biblijos Draugija,"17 x 17 cm, kieti viršeliai",Lietuvių,0,0,
Tai mano gėlė!,Alice Hemming,2023,30,12.19,4.89,0,Alma littera,"25 x 27,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,4,
Tai ne aš! Beprotiškai juokinga šunelio išdaiga,Alice Hemming,2021,24,3.09,2.48,0,Vaiga,"25,5 x 25,5 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Taksiukas Kukas. Daiktai,Alice Hemming,2017,16,0,0,0,Jūsų Flintas,"11 x 11 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
"Taksiukas Kukas. Dražovės, vaisiai",Alice Hemming,2017,16,0,0,0,Jūsų Flintas,"11 x 11 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Taksiukas Kukas. Transportas,Alice Hemming,2017,16,0,0,0,Jūsų Flintas,"11 x 11 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Taksiukas Kukas. Žaislai,Alice Hemming,2017,16,0,0,0,Jūsų Flintas,"11 x 11 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Taksiukas Kukas. Zoologijos sodo gyvūnai,Alice Hemming,2017,16,0,0,0,Jūsų Flintas,"11 x 11 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
"Tapu tapu takeliu: linksmi nuotykiai, iškilūs paveikslėliai!",Alice Hemming,2018,14,0,0,0,Trys nykštukai,"26,5 x 19,5 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Tapukas ir emocijų kuprinė,Monika Žiūkaitė,2022,32,0,0,0,Debesų ganyklos,"23,1 x 28,1 x 0,8 cm, kieti viršeliai",Lietuvių,0,5,
Taškuma raganytėms,Jūratė Račinskaitė,2013,48,0,0,0,Versus Aureus,"10,5 x 19,5 x 0,6 cm, minkšti viršeliai",Lietuvių,0,0,
Tavo kūnas,Jūratė Račinskaitė,2016,12,0,0,0,Nieko rimto,"25,3 x 25 x 1,7 cm, kieti viršeliai",Lietuvių,1,5,
Tavo mašinos,Jūratė Račinskaitė,2010,8,0,0,0,Alma littera,"22 x 22 cm, kieti viršeliai",Lietuvių,0,0,
Tavo ypatinga dovana,Max Lucado,2023,32,0,0,0,Abigailė,"23,3 x 26 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Technikos pasaulis,Max Lucado,2017,12,0,0,0,Vaiga,"23,5 x 30 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Tėčio Marselio liežuvis,Paulius Norvila,2024,40,12.99,11.69,0,Baltos lankos,"22,1 x 27,7 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Tedis mieste,Tom James,2013,8,0,0,0,Alma littera,"26 x 26 cm, kieti viršeliai",Lietuvių,1,5,
Tele Bim-Bam pasakos. O kas gi liko?,Neringa Čereškevičienė,2015,72,0,0,3.50,Muzikinė Partija,"22 x 22 x 1,5 cm, kieti viršeliai",Lietuvių,0,4,
"Ten, lauke, miega avelė",Mies van Hout,2015,32,0,0,0,Nieko rimto,"17,5 x 20,5 cm, kieti viršeliai",Lietuvių,4,4,
Teodoras Kubilinis ir geriausias pasaulyje gimtadienio tortas,Betina Gotzen-Beek,2012,32,0,0,18.99,Gimtasis žodis,"22 x 28,5 cm, kieti viršeliai",Lietuvių,1,5,
Tesėjas ir Minotauras,Sonia Elisabetta Corvaglia,2021,32,6.45,2.26,0,Briedis,"19 x 23 x 1 cm, kieti viršeliai",Lietuvių,0,0,
"Teta, kuri nesišypsojo",Nomeda Balasevičiūtė,2017,20,1.69,1.52,0,Jumena,"21 x 23 cm, minkšti viršeliai",Lietuvių,0,0,
"Tėti, aš tave myliu",Nomeda Balasevičiūtė,2019,14,0,0,0,Alma littera,"14,5 x 14,5 x 1,6 cm, kieti viršeliai",Lietuvių,2,5,
Tėtis darželyje,Tomas Dirgėla,2022,32,13.69,6.79,0,Alma littera,"21,5 x 25 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Tėtis mane myli,Tomas Dirgėla,2022,24,9.39,7.98,0,Egmont Lietuva,"21 x 29,7 x 2,4 cm, kieti viršeliai",Lietuvių,0,0,
Tėtis mato taip!,Artūras Sujeta,2021,32,9.49,8.54,0,A. Sujeta,"21 x 21 x 0,8 cm, kieti viršeliai",Lietuvių,20,3,
Tėtis myli mane,Izzy Down,2020,24,0,0,0,Egmont Lietuva,"23,5 x 25,5 x 0,9 cm, kieti viršeliai",Lietuvių,0,4,
Tėtis,Hélène Delforge,2023,68,12.39,11.15,12.39,Nieko rimto,"24,4 x 33,6 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Tetulė Liu,Ilona Ežerinytė,2022,60,17.25,15.53,0,Žalias kalnas,"21 x 30 x 1 cm, kieti viršeliai",Lietuvių,0,5,
The hedgehog and the sea,Mili Joni,2023,60,10.99,9.89,0,3 norai,"22,5 x 22,5 x 1 cm, kieti viršeliai",Anglų,0,0,
Tie namai namučiai,Selemonas Paltanavičius,2020,32,6.99,4.89,6.99,Alma littera,"14,3 x 20,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,4,
Tigriukas išdykauja su mama,Selemonas Paltanavičius,2021,14,0,0,0,Trys nykštukai,"15 x 15 x 1,6 cm, kieti viršeliai",Lietuvių,0,0,
Tik niekam nesakyk. Vytautė Žilinskaitė,Vytautė Žilinskaitė,1988,112,0,0,3.39,Vyturys,"20 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Tik pažiūrėk! Gyvūnai,Vytautė Žilinskaitė,2019,8,4.86,3.65,0,Presvika,"18 x 18 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Tik pažiūrėk! Ūkis,Vytautė Žilinskaitė,2019,8,4.86,3.65,0,Presvika,"18 x 18 x 1,2 cm, kieti viršeliai",Lietuvių,1,5,
Tik tak. Diena ūkyje,Carlos Busquets,2023,18,6.69,6.02,0,Trys nykštukai,"20 x 23 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Tikas ir Takas,Disney,1992,28,0,0,4.59,Trys nykštukai,"16 x 19,5 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Tikros spalvų istorijos,Vilma Varkulevičienė,2015,32,0,0,0,Všį „Gerosios Naujienos centras“,"17 x 23 cm, minkšti viršeliai",Lietuvių,0,0,
Tilidūda dainelės vaikams,Vilma Varkulevičienė,2024,8,16.29,11.40,0,Alma littera,"23 x 23 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Timas kviečia pažaisti. Knyga su magnetukais,Silvia D'Achille,2009,10,0,0,0,Presvika,"26 x 29 cm, kieti viršeliai",Lietuvių,0,0,
