Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
7 dienos ir naktys su Marilyn Monroe,Colin Clark,"Biografijos, publicistika",2012,400,0,0,15.39,Gimtasis žodis,"14 x 21 x 3,4 cm, kieti viršeliai",Lietuvių,1,3
813,Morisas Leblanas,"Detektyvai, trileriai",1994,128,0,0,2.09,Europa,"14 x 20,5 cm, minkšti viršeliai",Lietuvių,0,0
9: detektyvinė apysaka,Vilius Mačiliūnas,Lietuvių autorių romanai,2019,132,4.59,4.13,0,Slinktys,"10,5 x 16,5 x 1 cm, minkšti viršeliai",Lietuvių,2,5
"9 KAPAS: makabriškas žudikų žaidimas, kur nuo kraujo ir amžinai siaučiančios pūgos šiurpsta oda",Stefan Ahnhem,"Detektyvai, trileriai",2019,592,15.19,9.11,15.19,Baltos lankos,"14,5 x 21 x 4,1 cm, kieti viršeliai",Lietuvių,18,4
99 PROCENTAI MANO. Išskirtinė knygos.lt kolekcija 86/100,Sally Thorne,Meilės romanai,2024,352,5.00,5.00,0,knygos.lt,"13,7 x 20,8 cm, minkšti viršeliai",Lietuvių,0,0
99 PROCENTAI MANO. Bestselerio „Nekenčiu tavęs!“ autorė dovanoja dar vieną humoru ir seksualumu trykštančią romantišką istoriją,Sally Thorne,Meilės romanai,2022,352,20.99,8.40,20.99,BALTO leidybos namai,"14,3 x 21,3 x 3,2 cm, kieti viršeliai",Lietuvių,17,3
99 šimtosios,Liudas Mažylis,Lietuvių autorių romanai,2018,320,0,0,3.39,Alma littera,"14,5 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,2,3
99 trieiliai,Alis Balbierius,"Poezija, drama, esė",2013,112,0,0,0,Homo liber,"14 x 20 x 0,9 cm, minkšti viršeliai",Lietuvių,0,0
"A. S. Puškinas. Slapti užrašai, 1836-1837 metai",Aleksandras Puškinas,"Biografijos, publicistika",2000,127,0,0,0,A.S.Narbuto leidykla,"14,5 x 21 x 1 cm, minkšti viršeliai",Lietuvių,0,0
Apimti žmogų iki dugno,Jurgis Baltrušaitis,Klasika,2001,304,6.20,4.65,6.20,Aidai,"12,5 x 19,5 cm, minkšti viršeliai",Lietuvių,0,0
A. D. 999,Jadrien Bell,Fantastika,2007,288,0,0,0,Eridanas,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,0,3
A. Gordono Pimo nuotykiai. Užrakintas kambarys. Baimės slėnis,Edgaras Alenas Po,"Detektyvai, trileriai",1989,547,0,0,3.39,Vyturys,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Abajaus kelias. I–IV tomai,Muchtar Auezov,Užsienio autorių romanai,2022,1536,48.59,43.73,0,Žara,"15 x 21,5 x 8,5 cm, kieti viršeliai",Lietuvių,0,0
Abatas C,Georges Bataille,Užsienio autorių romanai,1999,186,0,0,6.99,"""B""","13 x 20, minkšti viršeliai",Lietuvių,0,3
Abatija,James Martin,Užsienio autorių romanai,2015,206,4.46,4.01,4.46,Katalikų pasaulio leidiniai,"1,5 cm, minkšti viršeliai",Lietuvių,4,4
Abato Murė nuodėmė,Emilis Zola,Klasika,1991,269,0,0,2.19,Mintis,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
ABC žmogžudystės,Agata Kristi,"Detektyvai, trileriai",1993,173,0,0,0,Mintis,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Abėcėlė (romanas),Czeslaw Milosz,Užsienio autorių romanai,2012,380,12.99,11.69,12.99,Aidai,"14 x 21,5 cm, minkšti viršeliai",Lietuvių,0,0
Abejingieji,Albertas Moravija,Užsienio autorių romanai,1991,237,0,0,2.19,Vaga,"12 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Abelis ir Estera,Geza Gardonyi,Meilės romanai,1994,174,0,0,2.19,Amžius,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Abiem pavidalais,Daniela Hodrova,Užsienio autorių romanai,2023,184,16.69,15.02,0,Hubris,"14 x 21 x 2 cm, kieti viršeliai",Lietuvių,0,4
Abiems nušvito aušra. Akių kerai,Emili Džordž,Meilės romanai,2005,304,0,0,0,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Abipus Rubikono. Giedantis gluosnis,Alfonsas Bieliauskas,Lietuvių autorių romanai,1998,315,0,0,2.50,Pradai,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,0,0
Abipusė trauka,Sharon Kendrick,Meilės romanai,2009,192,0,0,2.19,Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,3
Abišalė,Juozas Baltušis,Lietuvių autorių romanai,1974,326,0,0,3.39,Vaga,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,1,5
Abisinas,Jean-Christophe Rufin,Užsienio autorių romanai,2005,504,0,0,3.99,Baltos lankos,"14,4 x 21,5 cm, minkšti viršeliai",Lietuvių,0,4
Abrakadabra I dalis,Vytautas Petkevičius,Lietuvių autorių romanai,1991,157,0,0,4.00,Baltos lankos,"14 x 20,5 cm, minkšti viršeliai",Lietuvių,0,0
Abrakadabra II dalis,Vytautas Petkevičius,Lietuvių autorių romanai,1991,140,0,0,2.00,Velda,"14 x 20,5 x 0,7 cm, minkšti viršeliai",Lietuvių,0,0
"Absalomai, Absalomai! (Pasaulinės literatūros biblioteka 109)",William Faulkner,Užsienio autorių romanai,1989,300,0,0,2.19,Vaga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,1,5
Absoliučiai tikras pusės etato indėno dienoraštis,Sherman Alexie,Mokiniams rekomenduojamos knygos,2011,240,0,0,15.99,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,1,1
